Sexo:,Edad ,Provincia de  Origen,Ciudad de origen,El lugar donde vivia era: ,Su colegio era ,¿Sus estudios de tercer nivel fueron?,¿Cua¡l es su ultimo nivel de estudio culminado? (con o sin beca Senescyt),¿Qua© estudios cubrio su beca Senescyt?  (por favor seleccione todos los niveles financiados),Pias en donde realizo sus estudios cubiertos por la beca Senescyt del mayor grado financiado:,¿Cua¡l es su a¡rea de especializacion?,Año de convocatoria (mayor grado),Programa de beca financiado (mayor grado),¿Cua¡l es el ultimo nivel de estudios culminado de su padre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre?,¿Cua¡l es el ultimo nivel de estudios culminado de su madre? [Feedback],¿Cua¡l es su situacion actual?,Provincia actual de Residencia,Ciudad  actual de residencia,El lugar donde reside actualmente es:,Año de retorno,¿Cua¡ntos meses le tomo encontrar su primer empleo en Ecuador desde que retorno al Ecuador?,"En una escala del 1 al 5, ¿qua© tanto utilizaba sus habilidades adquiridas en sus estudios en este primer empleo en Ecuador?",¿Cua¡ntos  de experiencia previa relevante tenia antes de encontrar este empleo?,¿Como se siente en su trabajo?,"Comparado a cuando comenzo su actual empleo, sus habilidades han: ",¿Esta¡ en sus planes trabajar en el exterior una vez terminada la compensacion?,"Si tuviera una oportunidad laboral similar en el exterior y una en Ecuador, ¿qua© preferiria? y ¿por qua©?",¿Tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt? ,"Si tiene algun tra¡mite actualmente que no haya sido respondido por Senescyt, Explique, por favor cua¡l. ",¿Ha sido notificado con la terminacion unilateral del contrato?  ,"Si Senescyt decidiese terminar su contrato de manera unilateral, ¿estaria usted y su familia en condiciones de devolver los costos de su beca?",Tiene temor que Senescyt le notifique por Terminacion Unilateral de Contrato,¿Ha tenido algun problema adicional que no se haya contemplado en esta encuesta?
Femenino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Canada,Otro,2014,Excelencia,Pregrado - tercer nivel,Maestria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,5,No tenia experiencia,Muy contento(a);Descontento(a) por ingresos bajos,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Liquidacion financiera y actualizacion de contrato por haber regresado antes de la fecha prevista.,No,No,No,No.
Femenino,De 30 a 34 ,Carchi,Tulca¡n,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,France,Otro,2011,Convocatoria abierta,Secundaria,Primaria,,Becario retornado,Pichincha,Pichincha,Urbano,2015,0-2 meses,5,De 1 a 3 ,Muy contento(a),aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,
Femenino,De 30 a 34 ,Manabi,Portoviejo,Urbano,Privado,En Ecuador en una universidad publica,Doctorado - PhD,Maestria,Chile,Veterinaria,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,"No se como iniciar la solicitud para periodo de compensacion desde el exterior, no han sabido aclarar mis dudas ",No,No,"Si, porque me encuentro en el exterior",Tengo dudas de como hacer una solicitud para que me validen mis investigaciones realizadas en Ecuador como parte de mi compensacion 
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United States of America,Ingenieria y profesiones afines,2014,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,3-6 meses,1,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Finiquito de contrato,No,No,"Si, porque no encontra© trabajo en el plazo establecido",Falta de comunicacion de la Senescyt con mi personal acerca de liquidacion de rubros
Masculino,De 25 a 29 ,Loja,El Tambo,Rural,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ingenieria y profesiones afines,2018,Convocatoria abierta,Primaria,Primaria,,Becario retornado,Loja,Loja,Urbano,2019,Todavia no consigue empleo,,No tenia experiencia,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Liquidacion Financiera ,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Russia,Arquitectura y construccion,2016,Globo Comun,Primaria,Primaria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,5,De 1 a 3 ,Descontento(a) por no tener estabilidad,aumentado,Si,Preferiria trabajar en el exterior por razones externas al trabajo,Si,"liquidacion del contrato de beca, respuesta a mis resportes laborales mensuales.",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 25 a 29 ,Imbabura,Ibarra,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Humanidades,2016,Cooperacion,Maestria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2017,7-9 meses,4,De 1 a 3 ,Descontento(a) por no tener estabilidad,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,"Terminacion del contrato, por finalizacion de compensacion ",No,No,"SI, porque no regresa© en el plazo establecido","No responden los correos, los tra¡mites son lentos, no dan suficiente informacion "
Masculino,De 30 a 34 ,Chimborazo,Riobamba,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,United Kingdom,Ingenieria y profesiones afines,2014,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2016,0-2 meses,4,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 30 a 34 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Australia,Ingenieria y profesiones afines,2014,Convocatoria abierta,Maestria,,,Becario retornado,Pichincha,Quito,Urbano,2016,3-6 meses,4,De 1 a 3 ,Descontento(a) por ingresos bajos;Descontento(a) por las activ. que realiza;Descontento(a) por pocas posibilidades de progreso,disminuido,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion,No,No,No,
Masculino,De 35 a 39 ,Loja,Loja,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Doctorado PhD,Spain,Veterinaria,2018,Convocatoria abierta,Secundaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 40 a 50 ,Pichincha,Quito,Urbano,Publico,En Ecuador en una universidad privada,Maestria,Doctorado PhD,Spain,Otro,2011,Convocatoria abierta,Primaria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2014,7-9 meses,5,De 5 a 10 ,,,No,Me quedaria en el Ecuador,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 25 a 29 ,Carchi,San Pedro de Huaca,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ingenieria y profesiones afines,2013,Excelencia,Maestria,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2018,+12 meses,4,No tenia experiencia,Muy contento(a),aumentado,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,Extension del periodo de la beca,No,No,"SI, porque no regresa© en el plazo establecido","Termine mi beca despua©s del periodo del contrato y aun no me aprueban la extension3  despua©s de solicitarla. La liquidacion que tocaria devolver al Senescyt es muy alta por diferentes circunstancias entre ellas el cambio, mas de $40000"
Masculino,De 35 a 39 ,Bolivar,Guaranda,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Netherlands,Ciencias sociales y del comportamiento,2017,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Bolivar,Guaranda,Urbano,2019,Todavia no consigue empleo,,De 5 a 10 ,,,Si,Me quedaria en el Ecuador,No,,No,No,No,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Ciencias biologicas y afines,2013,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2019,3-6 meses,2,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,No,,No,No,"SI, porque no regresa© en el plazo establecido",
Masculino,De 35 a 39 ,Azuay,Cuenca,Urbano,En el exterior,En el exterior sin beca Senescyt,Maestria,Maestria,Chile,Ciencias biologicas y afines,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2016,3-6 meses,3,De 3 a 5 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion,No,No,No,
Masculino,De 30 a 34 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Arquitectura y construccion,2012,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Azuay,Cuenca,Urbano,2014,+12 meses,1,Menos de 1 año,Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso;Descontento(a) por malas relaciones laborales,permanecido iguales,No sa© aun,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Envia© un oficio con certificados laborales pequeños que tuvo a mi regreso al Ecuador a fin de justificar la tardanza en encontrar trabajo estable y comenzar con el periodo de compensacion. Yo encontra© trabajo fijo en un tiempo mayor al establecido, sin embargo tuve trabajo de cortos plazos (1 mes o menos). Ya ha pasado casi un año y aun no me han dado respuesta",No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 30 a 34 ,Cotopaxi,Latacunga,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Russia,Agricultura,2017,Cooperacion,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,Si,Liquidacion de beca ,No,No,"Si, porque me encuentro en el exterior",Sin apoyo economico para el PHD
Femenino,De 18 a 24 ,Carchi,Tulca¡n,Urbano,Fiscomisional,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,United Kingdom,Ingenieria y profesiones afines,2013,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Carchi,Tulca¡n,Urbano,2019,Todavia no consigue empleo,,Menos de 1 año,,,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,a_ltimo desembolso cuando estaba estudiando y el tra¡mite de Liquidacion cuando retorna© al pias.,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Azuay,Cuenca,Rural,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Belgium,Arquitectura y construccion,2012,Convocatoria abierta,Primaria,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2015,7-9 meses,2,De 1 a 3 ,Contento(a),aumentado,No sa© aun,Me quedaria en el Ecuador,Si,Revison de documentos de compensacion  por un analista para no aplicar terminacion unilateral de contrato.,No,No,"Si, porque no encontra© trabajo en el plazo establecido",no
Femenino,De 25 a 29 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2013,Excelencia,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Azuay,Cuenca,Urbano,2016,3-6 meses,3,Menos de 1 año,Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor,Si,Formularios rechazados -amenaza terminacion unilateral de contrato por haber empezado a devengar un mes despua©s de la fecha que se supone debia empezar mi compensacion laboral,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Femenino,De 18 a 24 ,Loja,Gonzanama¡,Rural,Publico,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Costa Rica,Agricultura,2017,Convocatoria abierta,Primaria,Primaria,,Becario todavia cursando los estudios con beca de Senescyt,,,,,,,,,,No,Me quedaria en el Ecuador,Si,Nos solicitaron enviar justificativos para liquidar pasajes de venida y para tramitar los pasajes de retorno este año. Pero aun no hay respuesta de esos tra¡mites realizados o que pasara¡ con nuestros pasajes de retorno al pias ,No,No,No,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Arquitectura y construccion,2018,Convocatoria abierta,Pregrado - tercer nivel,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2019,0-2 meses,2,De 1 a 3 ,Descontento(a) por muchas horas de trabajo,aumentado,No sa© aun,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Liquidacion de Beca por finaliza ion de estudios ,No,No,No,
Masculino,De 25 a 29 ,Pichincha,Quito,Urbano,Privado,En el exterior con beca Senescyt,Pregrado - tercer nivel,Pregrado - tercer nivel,Australia,Matema¡ticas y estadistica,2012,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Pichincha,Quito,Urbano,2017,3-6 meses,1,De 1 a 3 ,Descontento(a) por no tener estabilidad;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,"Si, porque no encontra© trabajo en el plazo establecido",
Masculino,De 35 a 39 ,Guayas,Guayaquil,Urbano,Publico,En Ecuador en una universidad publica,Doctorado - PhD,Doctorado PhD,Sweden,Ingenieria y profesiones afines,2012,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Guayas,Guayaquil,Urbano,2017,0-2 meses,5,De 5 a 10 ,Muy contento(a),aumentado,No,Me quedaria en el Ecuador,No,,No,No,"Si, porque sali ma¡s de 30 dias al año del pias",
Femenino,De 30 a 34 ,Loja,Loja,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Netherlands,Ciencias sociales y del comportamiento,2017,Excelencia,Pregrado - tercer nivel,Secundaria,,Becario retornado,Azuay,Cuenca,Urbano,2018,3-6 meses,1,De 3 a 5 ,Contento(a),permanecido iguales,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,A pesar de enviar 3 correos nunca recibi confirmacion de que recibieron mi transferencia por concepto de la liquidacion financiera.,No,No,No,
Femenino,De 30 a 34 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,Australia,Ciencias sociales y del comportamiento,2012,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2013,0-2 meses,5,De 1 a 3 ,,,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,
Femenino,De 35 a 39 ,Morona Santiago,Morona,Urbano,Fiscomisional,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Industria y produccion,2014,Convocatoria abierta,Secundaria,Primaria,,Becario retornado,Morona Santiago,Morona,Urbano,2016,+12 meses,1,De 3 a 5 ,Contento(a),aumentado,No,Preferiria trabajar en el exterior por razones externas al trabajo,Si,Fin del periodo de compensacion,No,No,No,
Femenino,De 30 a 34 ,Azuay,Cuenca,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Chile,Medio ambiente,2013,Convocatoria abierta,Pregrado - tercer nivel,Maestria,,Becario que termino sus estudios pero sigue en el exterior,,,,,,,,,,No sa© aun,Me quedaria en el Ecuador,No,,No,No,"Si, porque me encuentro en el exterior",
Femenino,De 25 a 29 ,Guayas,Guayaquil,Urbano,Privado,En Ecuador en una universidad publica,Maestria,Maestria,Hungary,Ciencias sociales y del comportamiento,2016,Cooperacion,Doctorado PhD,Pregrado - tercer nivel,,Becario retornado,Guayas,Guayaquil,Urbano,2018,3-6 meses,4,Menos de 1 año,Contento(a),aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,No,,No,No,No,
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,United States of America,Bienestar,2013,Excelencia,Secundaria,Pregrado - tercer nivel,,Becario retornado,El Oro,Huaquillas,Urbano,2015,0-2 meses,3,De 1 a 3 ,Contento(a);Descontento(a) por ingresos bajos;Descontento(a) por no tener estabilidad,aumentado,Si,Preferiria trabajar en el exterior porque la estabilidad es mayor;Preferiria trabajar en el exterior porque la remuneracion normalmente es mayor;Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores;Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,No,,No,No,No,Los tiempos de tra¡mite y perdida de documentos
Masculino,De 40 a 50 ,El Oro,Machala,Urbano,Privado,En Ecuador en una universidad privada,Maestria,Maestria,United States of America,Ingenieria y profesiones afines,2015,Convocatoria abierta,Secundaria,Secundaria,,Becario retornado,Guayas,Guayaquil,Urbano,2017,3-6 meses,5,Menos de 1 año,Contento(a);Descontento(a) por ingresos bajos;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos;Preferiria trabajar en el exterior por razones externas al trabajo,No,,No,No,No,no
Masculino,De 30 a 34 ,Guayas,Guayaquil,Urbano,Publico,En Ecuador en una universidad publica,Maestria,Maestria,Spain,Ciencias sociales y del comportamiento,2014,Convocatoria abierta,Pregrado - tercer nivel,Primaria,,Becario retornado,Guayas,Guayaquil,Urbano,2017,3-6 meses,2,De 3 a 5 ,,,No sa© aun,Preferiria trabajar en el exterior porque puedo aplicar mejor mis conocimientos,Si,"Mi liquidacion, presenta© todos los documentos al ex IFTH y no recibo respuesta",No,No,No,"La pregunta anterior debio tener la opcion: Si, porque no he cumplido con el tiempo de trabajo obligatorio"
Masculino,De 35 a 39 ,Pichincha,Quito,Urbano,Privado,En el exterior sin beca Senescyt,Posdoctorado,Posdoctorado,United States of America,Ciencias sociales y del comportamiento,2013,Excelencia,Especialidades ma©dicas,Pregrado - tercer nivel,,Becario retornado,Pichincha,Quito,Urbano,2016,0-2 meses,5,De 3 a 5 ,Descontento(a) por ambiente perjudicial;Descontento(a) por pocas posibilidades de progreso,aumentado,Si,Preferiria trabajar en el exterior porque las oportunidades de ascenso son mayores,Si,Pedido de convenio de pago,No,No,,
